34. CHEMICAL,40. CLASSIFICATION,41. METAL,43. CARCINOGEN,44. PBT,45. PFAS,47. UNIT OF MEASURE,48. 5.1 - FUGITIVE AIR,49. 5.2 - STACK AIR,50. 5.3 - WATER,51. 5.4 - UNDERGROUND,52. 5.4.1 - UNDERGROUND CL I,53. 5.4.2 - UNDERGROUND C II-V,54. 5.5.1 - LANDFILLS,55. 5.5.1A - RCRA C LANDFILL,56. 5.5.1B - OTHER LANDFILLS,57. 5.5.2 - LAND TREATMENT,58. 5.5.3 - SURFACE IMPNDMNT,59. 5.5.3A - RCRA SURFACE IM,60. 5.5.3B - OTHER SURFACE I,61. 5.5.4 - OTHER DISPOSAL,62. ON-SITE RELEASE TOTAL,63. 6.1 - POTW - TRNS RLSE,64. 6.1 - POTW - TRNS TRT,71. 6.2 - M71,72. 6.2 - M81,73. 6.2 - M82,74. 6.2 - M72,75. 6.2 - M63,76. 6.2 - M66,77. 6.2 - M67,78. 6.2 - M64,79. 6.2 - M65,80. 6.2 - M73,81. 6.2 - M79,82. 6.2 - M90,83. 6.2 - M94,84. 6.2 - M99,88. 6.2 - M26,91. OFF-SITE RECYCLED TOTAL,94. OFF-SITE ENERGY RECOVERY T,101. OFF-SITE TREATED TOTAL,103. 6.2 - TOTAL TRANSFER
Fluorine,TRI,NO,NO,NO,NO,Pounds,3.2,25343.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25346.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,22.0,4577.83,4600.83
Fluorouracil,TRI,NO,NO,NO,NO,Pounds,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Folpet,TRI,NO,NO,NO,NO,Pounds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fomesafen,TRI,NO,NO,NO,NO,Pounds,28.0,241.0,0.58,0.0,0.0,0.0,0.0,23132.5,0.0,0.0,0.0,0.0,0.0,0.0,23402.08,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.73,0.0,0.0,0.0,0.0,133.0,0.0,0.0,307.62,8.73,475.24
Formaldehyde,TRI,NO,YES,NO,NO,Pounds,403974.194654,4297428.112399,181946.26,0.0,12714142.0,0.0,0.0,52805.31,3945.46,103.3,0.0,0.0,159612.08000000002,21.0,17813977.717053,165418.88394,978164.44426,0.0,221192.123,9.02,0.0,0.0,0.0,0.0,202388.73440000002,21614.4925,334.398,1517.4250000000002,11260.17,55357.67975,555.3016,18705.29,30252.29,15587128.3381,5535271.78386,21850474.91015
Formic acid,TRI,NO,NO,NO,NO,Pounds,49863.9523,441737.3024,372667.09500000003,0.0,13374994.0,0.0,0.0,39902.0,482.376,0.62,0.0,0.0,19000.2,762.11,14299409.6557,7571.4635,70804.4802,0.0,27918.124,0.0,0.0,0.0,0.0,0.0,340585.3707,2548.3806,2.06,0.0,215.0,4064.0,105589.19600000001,1545.1399999999999,368135.44,980505.3495,774418.5782,2611552.9625
Freon 113 (CFC-113),TRI,NO,NO,NO,NO,Pounds,533066.0700000001,137905.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,670971.2000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,3377.0,71971.91,75367.91
Furan,TRI,NO,YES,NO,NO,Pounds,3237.94,9483.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12720.96,0.0,17489.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1076510.0,17489.0,1191499.0
Glycidol,TRI,NO,YES,NO,NO,Pounds,727.9,694.0,19633.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21054.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.0,4517030.51,4517380.51
Heptachlor,PBT,NO,YES,YES,NO,Pounds,0.729,16.765,0.0,0.0,0.0,0.0,0.0,309.68,0.0,0.0,0.0,0.0,0.0,0.0,327.174,0.0,0.0,0.0,0.012,0.0,0.0,0.0,0.0,0.0,0.02,7.014,0.0,0.0,130.0,0.0,0.0,10.0,10.0,0.0,29.009999999999998,176.056
Hexabromocyclododecane,PBT,NO,NO,YES,NO,Pounds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10618.2,0.0,0.0,0.0,0.0,0.0,0.0,10618.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,182.0
"Hexachloro-1,3-butadiene",TRI,NO,NO,NO,NO,Pounds,154.22,2020.74,27.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2202.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,0.0,0.0,0.0,0.0,0.0,40953.0,40955.0,0.0,113422.0,154394.9
Hexachlorobenzene,PBT,NO,YES,YES,NO,Pounds,93.702,753.0129999999999,103.1661,0.0,0.0,0.04,0.0,1267.934,1476.033,0.0,0.0,0.0,1424.34,0.0,5118.2281,5.106199999999999,0.0038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.65,39.083,0.0,0.0,0.100024,0.0,0.1,16.04,18.04,28982.257073,43268.32936,72454.865657
Hexachlorocyclopentadiene,TRI,NO,NO,NO,NO,Pounds,5.010009999999999,6.59,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.63001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,492.0,0.0,0.0,176.0,16.0,684.0
Hexachloroethane,TRI,NO,YES,NO,NO,Pounds,527.350134,410.98641899999996,20.0,0.0,202.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1160.336553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,262.0,0.0,0.0,0.0,0.0,0.0,39615.0018,39615.002,1105.0,452704.2006,493737.2026
