Chemical,Metal,Carcinogen,PBT,PFAS,Units,Air,Water,Landfill,Underground Wells,Land Treatment,Surface Impoundment,Recycled
2-[[(Heptadecafluorooctyl)sulfonyl]methylamino]ethyl acrylate,NO,NO,NO,YES,Pounds,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"3,3'-Dichlorobenzidine",NO,YES,NO,NO,Pounds,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"3,3'-Dichlorobenzidine dihydrochloride",NO,YES,NO,NO,Pounds,4.859999999999999,0.0,0.0,0.0,0.0,0.0,0.0
"3,3'-Dimethoxybenzidine",NO,YES,NO,NO,Pounds,16.04,0.0,0.0,0.0,0.0,0.0,0.0
"3,3'-Dimethoxybenzidine dihydrochloride",NO,YES,NO,NO,Pounds,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"3,3'-Dimethylbenzidine",NO,YES,NO,NO,Pounds,15.74,0.0,0.0,0.0,0.0,0.0,0.0
"3-Chloro-1,1,1-trifluoropropane (HCFC-253fb)",NO,NO,NO,NO,Pounds,2291.6200000000003,0.0,0.0,0.0,0.0,0.0,0.0
3-Chloro-2-methyl-1-propene,NO,YES,NO,NO,Pounds,373.0,0.0,0.0,0.0,0.0,0.0,0.0
3-Chloropropionitrile,NO,NO,NO,NO,Pounds,2.0,0.0,0.0,0.0,0.0,0.0,0.0
3-Iodo-2-propynyl butylcarbamate,NO,NO,NO,NO,Pounds,993.63,0.0,12725.28,0.0,326.6,0.0,486.207
"3-[[(Heptadecafluorooctyl)sulfonyl]amino]-N,N,N-trimethyl-1-propanaminium iodide",NO,NO,NO,YES,Pounds,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"4,4'-Diaminodiphenyl ether",NO,YES,NO,NO,Pounds,255.26,404.0,141.0,0.0,0.0,0.0,0.0
"4,4'-Isopropylidenediphenol",NO,NO,NO,NO,Pounds,43579.354,1630.55,2987431.6500979997,0.0,3896.0,0.0,817300.4299999999
"4,4'-Methylenebis(2-chloroaniline)",NO,YES,NO,NO,Pounds,16.660009,0.0,500.0,0.0,0.0,0.0,0.0
"4,4'-Methylenedianiline",NO,YES,NO,NO,Pounds,1597.0800000000002,3328.0,862.0,240000.0,0.0,0.0,8760.0
"4,6-Dinitro-o-cresol",NO,NO,NO,NO,Pounds,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4-Aminoazobenzene,NO,YES,NO,NO,Pounds,0.0,0.0,0.0,1337.32,0.0,0.0,0.0
4-Aminobiphenyl,NO,YES,NO,NO,Pounds,12.52,0.0,0.0,18.78,0.0,0.0,0.0
4-Dimethylaminoazobenzene,NO,YES,NO,NO,Pounds,3.0,0.0,0.0,0.0,0.0,0.0,0.0
4-Nitrophenol,NO,NO,NO,NO,Pounds,0.034,0.0,0.19,0.0,0.0,0.0,0.0
5-Nitro-o-toluidine,NO,NO,NO,NO,Pounds,0.014,0.0,0.0,0.0,0.0,0.0,0.0
Abamectin,NO,NO,NO,NO,Pounds,7.0,0.0,679.96,0.0,0.0,0.0,0.0
Acephate,NO,NO,NO,NO,Pounds,2.0,0.0,35449.36,0.0,0.0,0.0,0.0
Acetaldehyde,NO,YES,NO,NO,Pounds,7647178.057047999,299269.929,17773.723326,254312.01,109.40599999999999,7933.269999999999,27618.6442
Acetamide,NO,YES,NO,NO,Pounds,72.0,255.0,0.0,1213407.0,0.0,0.0,0.0
Acetonitrile,NO,NO,NO,NO,Pounds,776384.7032499999,2133.39,1331.8039999999999,21188935.55,0.0,32.0,4513193.6896
Acetophenone,NO,NO,NO,NO,Pounds,207838.2236,825.1,3701.1849,479320.0,1319.449,0.0,4917.0
"Acifluorfen, sodium salt",NO,NO,NO,NO,Pounds,10.2,0.0,0.0,0.0,0.0,0.0,0.0
